VREME         KORISNIK   PID     RODITELJ         ISHOD     TRAJANJE   KOMANDA
10:06:04.517  kali       2524    wrapper-2.0      OK        947.0      /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:04.527  kali       2526    xfce4-panel-gen  OK        146.2      /usr/sbin/ip
10:06:04.528  kali       2527    xfce4-panel-gen  OK        115.2      /usr/bin/cut
10:06:04.528  kali       2528    xfce4-panel-gen  OK        2596.0     /usr/bin/head
10:06:04.530  kali       2531    xfce4-panel-gen  OK        91.9       /usr/bin/grep
10:06:04.530  kali       2530    xfce4-panel-gen  OK        89.8       /usr/sbin/ip
10:06:05.519  kali       2532    wrapper-2.0      OK        826.9      /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:05.524  kali       2536    xfce4-panel-gen  OK        391.3      /usr/bin/head
10:06:05.524  kali       2534    xfce4-panel-gen  OK        216.1      /usr/sbin/ip
10:06:05.525  kali       2535    xfce4-panel-gen  OK        2674.6     /usr/bin/cut
10:06:05.527  kali       2539    xfce4-panel-gen  OK        124.9      /usr/bin/grep
10:06:05.527  kali       2538    xfce4-panel-gen  OK        130.5      /usr/sbin/ip
10:06:06.525  kali       2540    wrapper-2.0      OK        997.0      /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:06.532  kali       2544    xfce4-panel-gen  OK        153.9      /usr/bin/head
10:06:06.532  kali       2542    xfce4-panel-gen  OK        307.6      /usr/sbin/ip
10:06:06.533  kali       2543    xfce4-panel-gen  OK        2750.4     /usr/bin/cut
10:06:06.536  kali       2547    xfce4-panel-gen  OK        386.3      /usr/bin/grep
10:06:06.536  kali       2546    xfce4-panel-gen  OK        160.3      /usr/sbin/ip
10:06:07.014  kali       2549    zsh              OK        1049.8     /usr/bin/ls
10:06:07.590  kali       2551    wrapper-2.0      OK        1564.1     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:07.594  kali       2554    xfce4-panel-gen  OK        266.8      /usr/bin/cut
10:06:07.595  kali       2555    xfce4-panel-gen  OK        209.2      /usr/bin/head
10:06:07.595  kali       2553    xfce4-panel-gen  OK        250.8      /usr/sbin/ip
10:06:07.598  kali       2558    xfce4-panel-gen  OK        97.8       /usr/bin/grep
10:06:07.598  kali       2557    xfce4-panel-gen  OK        118.9      /usr/sbin/ip
10:06:08.638  kali       2559    wrapper-2.0      OK        2356.4     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:08.641  kali       2561    xfce4-panel-gen  OK        227.3      /usr/sbin/ip
10:06:08.641  kali       2562    xfce4-panel-gen  OK        209.7      /usr/bin/cut
10:06:08.645  kali       2563    xfce4-panel-gen  OK        172.2      /usr/bin/head
10:06:08.648  kali       2565    xfce4-panel-gen  OK        137.9      /usr/sbin/ip
10:06:08.648  kali       2566    xfce4-panel-gen  OK        131.2      /usr/bin/grep
10:06:09.736  kali       2567    wrapper-2.0      OK        2204.7     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:09.744  kali       2571    xfce4-panel-gen  OK        119.6      /usr/bin/head
10:06:09.745  kali       2569    xfce4-panel-gen  OK        86.5       /usr/sbin/ip
10:06:09.746  kali       2570    xfce4-panel-gen  OK        294.2      /usr/bin/cut
10:06:09.749  kali       2573    xfce4-panel-gen  OK        217.1      /usr/sbin/ip
10:06:09.750  kali       2574    xfce4-panel-gen  OK        102.9      /usr/bin/grep
10:06:10.736  kali       2575    wrapper-2.0      OK        741.3      /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:10.739  kali       2577    xfce4-panel-gen  OK        211.2      /usr/sbin/ip
10:06:10.739  kali       2578    xfce4-panel-gen  OK        163.7      /usr/bin/cut
10:06:10.740  kali       2579    xfce4-panel-gen  OK        144.2      /usr/bin/head
10:06:10.743  kali       2582    xfce4-panel-gen  OK        97.5       /usr/bin/grep
10:06:10.744  kali       2581    xfce4-panel-gen  OK        90.4       /usr/sbin/ip
10:06:11.749  kali       2586    wrapper-2.0      OK        905.5      /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:11.750  kali       2589    xfce4-panel-gen  OK        83.9       /usr/bin/cut
10:06:11.751  kali       2590    xfce4-panel-gen  OK        77.8       /usr/bin/head
10:06:11.752  kali       2588    xfce4-panel-gen  OK        100.0      /usr/sbin/ip
10:06:11.753  kali       2593    xfce4-panel-gen  OK        82.2       /usr/bin/grep
10:06:11.756  kali       2592    xfce4-panel-gen  OK        82.4       /usr/sbin/ip
10:06:12.746  kali       2594    wrapper-2.0      OK        297.9      /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:12.750  kali       2596    xfce4-panel-gen  OK        78.8       /usr/sbin/ip
10:06:12.750  kali       2597    xfce4-panel-gen  OK        67.4       /usr/bin/cut
10:06:12.751  kali       2598    xfce4-panel-gen  OK        88.3       /usr/bin/head
10:06:12.756  kali       2601    xfce4-panel-gen  OK        85.2       /usr/bin/grep
10:06:12.756  kali       2600    xfce4-panel-gen  OK        90.5       /usr/sbin/ip
10:06:13.748  kali       2610    wrapper-2.0      OK        543.4      /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:13.750  kali       2612    xfce4-panel-gen  OK        102.6      /usr/sbin/ip
10:06:13.750  kali       2613    xfce4-panel-gen  OK        83.0       /usr/bin/cut
10:06:13.750  kali       2614    xfce4-panel-gen  OK        68.2       /usr/bin/head
10:06:13.753  kali       2617    xfce4-panel-gen  OK        522.2      /usr/bin/grep
10:06:13.753  kali       2616    xfce4-panel-gen  OK        81.4       /usr/sbin/ip
10:06:14.757  kali       2625    wrapper-2.0      OK        1017.4     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:14.762  kali       2627    xfce4-panel-gen  OK        255.5      /usr/sbin/ip
10:06:14.762  kali       2629    xfce4-panel-gen  OK        271.0      /usr/bin/head
10:06:14.762  kali       2628    xfce4-panel-gen  OK        250.6      /usr/bin/cut
10:06:14.767  kali       2632    xfce4-panel-gen  OK        138.8      /usr/bin/grep
10:06:14.768  kali       2631    xfce4-panel-gen  OK        147.1      /usr/sbin/ip
10:06:15.370  kali       2639    zsh              ENOENT    10.1       /afa/onnoe
10:06:15.791  kali       2644    wrapper-2.0      OK        1174.5     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:15.794  kali       2647    xfce4-panel-gen  OK        100.2      /usr/bin/cut
10:06:15.794  kali       2648    xfce4-panel-gen  OK        86.0       /usr/bin/head
10:06:15.794  kali       2646    xfce4-panel-gen  OK        108.4      /usr/sbin/ip
10:06:15.795  kali       2651    xfce4-panel-gen  OK        82.8       /usr/bin/grep
10:06:15.795  kali       2650    xfce4-panel-gen  OK        86.4       /usr/sbin/ip
10:06:16.958  kali       2652    wrapper-2.0      OK        1031.2     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:16.966  kali       2656    xfce4-panel-gen  OK        212.4      /usr/bin/head
10:06:16.967  kali       2654    xfce4-panel-gen  OK        233.5      /usr/sbin/ip
10:06:16.967  kali       2655    xfce4-panel-gen  OK        631.9      /usr/bin/cut
10:06:16.969  kali       2658    xfce4-panel-gen  OK        155.0      /usr/sbin/ip
10:06:16.971  kali       2659    xfce4-panel-gen  OK        370.3      /usr/bin/grep
10:06:17.628  kali       2671    zsh              ENOENT    9.9        /home/kali/.local/bin/lfafaf
10:06:17.629  kali       2671    zsh              ENOENT    3.6        /usr/local/sbin/lfafaf
10:06:17.629  kali       2671    zsh              ENOENT    3.1        /usr/sbin/lfafaf
10:06:17.630  kali       2671    zsh              ENOENT    3.6        /sbin/lfafaf
10:06:17.630  kali       2671    zsh              ENOENT    2.6        /usr/local/bin/lfafaf
10:06:17.630  kali       2671    zsh              ENOENT    2.0        /usr/bin/lfafaf
10:06:17.631  kali       2671    zsh              ENOENT    2.4        /bin/lfafaf
10:06:17.631  kali       2671    zsh              ENOENT    3.0        /usr/local/games/lfafaf
10:06:17.631  kali       2671    zsh              ENOENT    2.3        /usr/games/lfafaf
10:06:17.632  kali       2671    zsh              ENOENT    2.7        /home/kali/.dotnet/tools/lfafaf
10:06:17.639  kali       2672    zsh              OK        6791.7     /usr/lib/command-not-found
10:06:17.956  kali       2674    wrapper-2.0      OK        754.9      /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:17.959  kali       2676    xfce4-panel-gen  OK        309.3      /usr/sbin/ip
10:06:17.959  kali       2677    xfce4-panel-gen  OK        139.7      /usr/bin/cut
10:06:17.959  kali       2678    xfce4-panel-gen  OK        127.8      /usr/bin/head
10:06:17.962  kali       2681    xfce4-panel-gen  OK        94.3       /usr/bin/grep
10:06:17.963  kali       2680    xfce4-panel-gen  OK        87.5       /usr/sbin/ip
10:06:18.967  kali       2683    wrapper-2.0      OK        2781.1     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:18.967  kali       2686    xfce4-panel-gen  OK        88.6       /usr/sbin/ip
10:06:18.967  kali       2687    xfce4-panel-gen  OK        91.8       /usr/bin/cut
10:06:18.967  kali       2688    xfce4-panel-gen  OK        204.6      /usr/bin/head
10:06:18.969  kali       2690    xfce4-panel-gen  OK        96.2       /usr/sbin/ip
10:06:18.969  kali       2691    xfce4-panel-gen  OK        80.7       /usr/bin/grep
10:06:19.103  kali       2692    zsh              OK        341.8      /usr/bin/ls
10:06:20.104  kali       2694    wrapper-2.0      OK        1687.4     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:20.110  kali       2698    xfce4-panel-gen  OK        142.2      /usr/bin/head
10:06:20.111  kali       2697    xfce4-panel-gen  OK        157.0      /usr/bin/cut
10:06:20.111  kali       2696    xfce4-panel-gen  OK        94.5       /usr/sbin/ip
10:06:20.120  kali       2700    xfce4-panel-gen  OK        183.7      /usr/sbin/ip
10:06:20.120  kali       2701    xfce4-panel-gen  OK        109.0      /usr/bin/grep
10:06:21.373  kali       2702    wrapper-2.0      OK        2501.6     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:21.376  kali       2705    xfce4-panel-gen  OK        111.0      /usr/bin/cut
10:06:21.376  kali       2704    xfce4-panel-gen  OK        115.1      /usr/sbin/ip
10:06:21.378  kali       2706    xfce4-panel-gen  OK        215.6      /usr/bin/head
10:06:21.381  kali       2709    xfce4-panel-gen  OK        88.4       /usr/bin/grep
10:06:21.381  kali       2708    xfce4-panel-gen  OK        95.5       /usr/sbin/ip
10:06:22.381  kali       2719    wrapper-2.0      OK        1128.2     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:22.386  kali       2723    xfce4-panel-gen  OK        216.9      /usr/bin/head
10:06:22.386  kali       2721    xfce4-panel-gen  OK        271.6      /usr/sbin/ip
10:06:22.386  kali       2722    xfce4-panel-gen  OK        489.2      /usr/bin/cut
10:06:22.391  kali       2726    xfce4-panel-gen  OK        687.7      /usr/bin/grep
10:06:22.391  kali       2725    xfce4-panel-gen  OK        122.8      /usr/sbin/ip
10:06:22.653  kali       2729    zsh              OK        3784.1     /usr/bin/touch
10:06:23.380  kali       2736    wrapper-2.0      OK        496.9      /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:23.382  kali       2738    xfce4-panel-gen  OK        208.9      /usr/sbin/ip
10:06:23.382  kali       2739    xfce4-panel-gen  OK        106.3      /usr/bin/cut
